char,cong,irred,nu-invariants,ideals
2,2,False,1,ideal(y^6+x)
3,3,True,"1, 2","ideal 1, ideal(x,y^4)"
5,5,False,"2, 3, 4","ideal 1, ideal(x,y^2), ideal(x,y^4)"
7,7,True,"3, 4, 5, 6","ideal 1, ideal(y,x), ideal(x,y^3), ideal(x,y^5)"
11,11,True,"5, 6, 7, 8, 9, 10","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x,y^5)"
13,-11,False,"7, 8, 9, 10, 11, 12","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x,y^5)"
17,-7,False,"9, 10, 12, 13, 15, 16","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x,y^5)"
19,-5,True,"10, 12, 13, 15, 16, 18","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x,y^5)"
23,-1,True,"12, 14, 16, 18, 20, 22","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x,y^5)"
29,5,False,"16, 18, 21, 23, 26, 28","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x,y^5)"
31,7,True,"17, 20, 22, 25, 27, 30","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x,y^5)"
37,-11,False,"21, 24, 27, 30, 33, 36","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x,y^5)"
41,-7,False,"23, 26, 30, 33, 37, 40","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x,y^5)"
43,-5,True,"24, 28, 31, 35, 38, 42","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x,y^5)"
47,-1,True,"26, 30, 34, 38, 42, 46","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x,y^5)"
53,5,False,"30, 34, 39, 43, 48, 52","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x,y^5)"
59,11,True,"33, 38, 43, 48, 53, 58","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x,y^5)"
61,-11,False,"35, 40, 45, 50, 55, 60","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x,y^5)"
67,-5,True,"38, 44, 49, 55, 60, 66","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x,y^5)"
71,-1,True,"40, 46, 52, 58, 64, 70","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x,y^5)"
73,1,False,"42, 48, 54, 60, 66, 72","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x,y^5)"
79,7,True,"45, 52, 58, 65, 71, 78","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x,y^5)"
83,11,True,"47, 54, 61, 68, 75, 82","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x,y^5)"
89,-7,False,"51, 58, 66, 73, 81, 88","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x,y^5)"
97,1,False,"56, 64, 72, 80, 88, 96","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x,y^5)"
