char,cong,irred,nu-invariants,ideals
2,2,False,1,ideal(y^7+x^2)
3,3,True,"1, 2","ideal(x,y^4), ideal(x^2,x*y^4,y^9)"
5,5,False,"1, 2, 3, 4","ideal 1, ideal(x,y^2), ideal(x^2,x*y^2,y^5), ideal(x^3,x^2*y^2,x*y^5,y^8)"
7,7,True,"1, 2, 3, 4, 5, 6","ideal 1, ideal(x,y^2), ideal(x,y^4), ideal(x^2,x*y^2,y^6), ideal(x^2,x*y^4,y^8), ideal(x^3,x^2*y^2,x*y^6,y^10)"
11,11,True,"2, 3, 4, 5, 6, 7, 8, 9, 10","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^5), ideal(x^2,x*y^2,y^6), ideal(x^2,x*y^3,y^7), ideal(x^2*y,x^3,x*y^5,y^8), ideal(x^3,x^2*y^2,x*y^6,y^10)"
13,13,False,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^6,y^9)"
17,17,False,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2,x*y^4,y^7), ideal(x^2*y,x^3,x*y^4,y^8), ideal(x^3,x^2*y^2,x*y^5,y^9), ideal(x^3,x^2*y^3,x*y^6,y^9)"
19,19,True,"5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x*y,x^2,y^5), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^2,y^6), ideal(x^2,x*y^3,y^7), ideal(x^2,x*y^4,y^8), ideal(x^2*y,x^3,x*y^5,y^8), ideal(x^3,x^2*y^2,x*y^5,y^9), ideal(x^3,x^2*y^2,x*y^6,y^10)"
23,23,True,"6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x*y,x^2,y^4), ideal(x*y,x^2,y^5), ideal(x^2,x*y^2,y^6), ideal(x^2,x*y^3,y^6), ideal(x^2,x*y^3,y^7), ideal(x^2,x*y^4,y^7), ideal(x^2*y,x^3,x*y^4,y^8), ideal(x^2*y,x^3,x*y^5,y^9), ideal(x^3,x^2*y^2,x*y^6,y^9), ideal(x^3,x^2*y^3,x*y^6,y^10)"
29,-27,False,"9, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x*y,x^2,y^4), ideal(x*y,x^2,y^5), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^2,y^6), ideal(x^2,x*y^3,y^6), ideal(x^2,x*y^3,y^7), ideal(x^2,x*y^4,y^7), ideal(x^2*y,x^3,x*y^4,y^8), ideal(x^2*y,x^3,x*y^5,y^8), ideal(x^3,x^2*y^2,x*y^5,y^9), ideal(x^3,x^2*y^2,x*y^6,y^9), ideal(x^3,x^2*y^3,x*y^6,y^10)"
31,-25,True,"9, 11, 13, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x*y,x^2,y^4), ideal(x*y,x^2,y^5), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^2,y^6), ideal(x^2,x*y^3,y^6), ideal(x^2,x*y^3,y^7), ideal(x^2,x*y^4,y^7), ideal(x^2,x*y^4,y^8), ideal(x^2*y,x^3,x*y^4,y^8), ideal(x^2*y,x^3,x*y^5,y^9), ideal(x^3,x^2*y^2,x*y^5,y^9), ideal(x^3,x^2*y^2,x*y^6,y^9), ideal(x^3,x^2*y^3,x*y^6,y^10)"
37,-19,False,"11, 14, 16, 19, 20, 22, 23, 24, 25, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x*y,x^2,y^4), ideal(x*y,x^2,y^5), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^2,y^6), ideal(x^2,x*y^3,y^6), ideal(x^2,x*y^3,y^7), ideal(x^2,x*y^4,y^7), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^2*y,x^3,x*y^4,y^8), ideal(x^2*y,x^3,x*y^5,y^8), ideal(x^3,x^2*y^2,x*y^5,y^9), ideal(x^3,x^2*y^2,x*y^6,y^9), ideal(x^3,x^2*y^3,x*y^6,y^9), ideal(x^3,x^2*y^3,x*y^6,y^10)"
41,-15,False,"12, 15, 18, 21, 22, 24, 25, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x*y,x^2,y^4), ideal(x*y,x^2,y^5), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^2,y^6), ideal(x^2,x*y^3,y^6), ideal(x^2,x*y^3,y^7), ideal(x^2,x*y^4,y^7), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^2*y,x^3,x*y^4,y^8), ideal(x^2*y,x^3,x*y^5,y^8), ideal(x^3,x^2*y^2,x*y^5,y^8), ideal(x^3,x^2*y^2,x*y^5,y^9), ideal(x^3,x^2*y^2,x*y^6,y^9), ideal(x^3,x^2*y^3,x*y^6,y^9), ideal(x^3,x^2*y^3,x*y^6,y^10)"
43,-13,True,"13, 16, 19, 22, 24, 25, 27, 28, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x*y,x^2,y^4), ideal(x*y,x^2,y^5), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^2,y^6), ideal(x^2,x*y^3,y^6), ideal(x^2,x*y^3,y^7), ideal(x^2,x*y^4,y^7), ideal(x^2,x*y^4,y^8), ideal(x^2*y,x^3,x*y^4,y^8), ideal(x^2*y,x^3,x*y^5,y^8), ideal(x^2*y,x^3,x*y^5,y^9), ideal(x^3,x^2*y^2,x*y^5,y^9), ideal(x^3,x^2*y^2,x*y^6,y^9), ideal(x^3,x^2*y^2,x*y^6,y^10), ideal(x^3,x^2*y^3,x*y^6,y^10)"
47,-9,True,"14, 17, 21, 24, 26, 27, 29, 31, 33, 34, 36, 37, 38, 39, 41, 43, 44, 45, 46","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x*y,x^2,y^4), ideal(x*y,x^2,y^5), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^2,y^6), ideal(x^2,x*y^3,y^6), ideal(x^2,x*y^3,y^7), ideal(x^2,x*y^4,y^7), ideal(x^2,x*y^4,y^8), ideal(x^2*y,x^3,x*y^4,y^8), ideal(x^2*y,x^3,x*y^5,y^8), ideal(x^3,x^2*y^2,x*y^5,y^9), ideal(x^3,x^2*y^2,x*y^6,y^9), ideal(x^3,x^2*y^2,x*y^6,y^10), ideal(x^3,x^2*y^3,x*y^6,y^10)"
