char,cong,irred,nu-invariants,ideals
2,2,False,1,ideal(y^3+x)
3,3,True,"1, 2","ideal 1, ideal(x,y^2)"
5,5,False,"2, 3, 4","ideal 1, ideal(y,x), ideal(x,y^2)"
7,-5,True,"4, 5, 6","ideal 1, ideal(y,x), ideal(x,y^2)"
11,-1,True,"6, 8, 10","ideal 1, ideal(y,x), ideal(x,y^2)"
13,1,False,"8, 10, 12","ideal 1, ideal(y,x), ideal(x,y^2)"
17,5,False,"10, 13, 16","ideal 1, ideal(y,x), ideal(x,y^2)"
19,-5,True,"12, 15, 18","ideal 1, ideal(y,x), ideal(x,y^2)"
23,-1,True,"14, 18, 22","ideal 1, ideal(y,x), ideal(x,y^2)"
29,5,False,"18, 23, 28","ideal 1, ideal(y,x), ideal(x,y^2)"
31,-5,True,"20, 25, 30","ideal 1, ideal(y,x), ideal(x,y^2)"
37,1,False,"24, 30, 36","ideal 1, ideal(y,x), ideal(x,y^2)"
41,5,False,"26, 33, 40","ideal 1, ideal(y,x), ideal(x,y^2)"
43,-5,True,"28, 35, 42","ideal 1, ideal(y,x), ideal(x,y^2)"
47,-1,True,"30, 38, 46","ideal 1, ideal(y,x), ideal(x,y^2)"
53,5,False,"34, 43, 52","ideal 1, ideal(y,x), ideal(x,y^2)"
59,-1,True,"38, 48, 58","ideal 1, ideal(y,x), ideal(x,y^2)"
61,1,False,"40, 50, 60","ideal 1, ideal(y,x), ideal(x,y^2)"
67,-5,True,"44, 55, 66","ideal 1, ideal(y,x), ideal(x,y^2)"
71,-1,True,"46, 58, 70","ideal 1, ideal(y,x), ideal(x,y^2)"
73,1,False,"48, 60, 72","ideal 1, ideal(y,x), ideal(x,y^2)"
79,-5,True,"52, 65, 78","ideal 1, ideal(y,x), ideal(x,y^2)"
83,-1,True,"54, 68, 82","ideal 1, ideal(y,x), ideal(x,y^2)"
89,5,False,"58, 73, 88","ideal 1, ideal(y,x), ideal(x,y^2)"
97,1,False,"64, 80, 96","ideal 1, ideal(y,x), ideal(x,y^2)"
