char,cong,irred,nu-invariants,ideals
2,2,True,1,"ideal(x,y^2)"
3,3,True,"1, 2","ideal 1, ideal(y,x)"
5,5,True,"2, 3, 4","ideal 1, ideal(y,x), ideal(x,y^2)"
7,-3,True,"4, 5, 6","ideal 1, ideal(y,x), ideal(x,y^2)"
11,1,True,"7, 9, 10","ideal 1, ideal(y,x), ideal(x,y^2)"
13,3,True,"8, 11, 12","ideal 1, ideal(y,x), ideal(x,y^2)"
17,-3,True,"11, 14, 16","ideal 1, ideal(y,x), ideal(x,y^2)"
19,-1,True,"12, 16, 18","ideal 1, ideal(y,x), ideal(x,y^2)"
23,3,True,"15, 20, 22","ideal 1, ideal(y,x), ideal(x,y^2)"
29,-1,True,"19, 25, 28","ideal 1, ideal(y,x), ideal(x,y^2)"
31,1,True,"21, 27, 30","ideal 1, ideal(y,x), ideal(x,y^2)"
37,-3,True,"25, 32, 36","ideal 1, ideal(y,x), ideal(x,y^2)"
41,1,True,"28, 36, 40","ideal 1, ideal(y,x), ideal(x,y^2)"
43,3,True,"29, 38, 42","ideal 1, ideal(y,x), ideal(x,y^2)"
47,-3,True,"32, 41, 46","ideal 1, ideal(y,x), ideal(x,y^2)"
53,3,True,"36, 47, 52","ideal 1, ideal(y,x), ideal(x,y^2)"
59,-1,True,"40, 52, 58","ideal 1, ideal(y,x), ideal(x,y^2)"
61,1,True,"42, 54, 60","ideal 1, ideal(y,x), ideal(x,y^2)"
67,-3,True,"46, 59, 66","ideal 1, ideal(y,x), ideal(x,y^2)"
71,1,True,"49, 63, 70","ideal 1, ideal(y,x), ideal(x,y^2)"
73,3,True,"50, 65, 72","ideal 1, ideal(y,x), ideal(x,y^2)"
79,-1,True,"54, 70, 78","ideal 1, ideal(y,x), ideal(x,y^2)"
83,3,True,"57, 74, 82","ideal 1, ideal(y,x), ideal(x,y^2)"
89,-1,True,"61, 79, 88","ideal 1, ideal(y,x), ideal(x,y^2)"
97,-3,True,"67, 86, 96","ideal 1, ideal(y,x), ideal(x,y^2)"
