char,cong,irred,nu-invariants,ideals
2,2,True,1,"ideal(x^2,y^7)"
3,3,True,"1, 2","ideal(x,y^4), ideal(x^3,x*y^4,y^9)"
5,5,True,"1, 2, 3, 4","ideal(x,y^2), ideal(x^2,x*y^2,y^5), ideal(x^3,x^2*y^2,x*y^5,y^8), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^11)"
7,7,True,"1, 2, 3, 4, 5, 6","ideal 1, ideal(x,y^2), ideal(x^2,x*y^2,y^4), ideal(x^2,x*y^4,y^6), ideal(x^3,x^2*y^2,x*y^6,y^8), ideal(x^4,x^3*y^2,x^2*y^4,x*y^8,y^10)"
11,11,True,"2, 3, 4, 5, 6, 7, 8, 9, 10","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x*y,x^2,y^3), ideal(x^2,x*y^2,y^5), ideal(x^2*y,x^3,x*y^3,y^6), ideal(x^3,x^2*y^2,x*y^5,y^7), ideal(x^3*y,x^4,x^2*y^3,x*y^6,y^8), ideal(x^4,x^3*y^2,x^2*y^5,x*y^7,y^10)"
13,13,True,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2*y,x^3,x*y^3,y^6), ideal(x^3,x^2*y^2,x*y^4,y^7), ideal(x^3,x^2*y^3,x*y^5,y^8), ideal(x^3*y,x^4,x^2*y^4,x*y^6,y^9), ideal(x^4,x^3*y^2,x^2*y^5,x*y^7,y^10)"
17,17,True,"4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^4), ideal(x^2,x*y^3,y^5), ideal(x^2,x*y^4,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^9), ideal(x^4,x^3*y^2,x^2*y^4,x*y^8,y^10)"
19,19,True,"4, 5, 7, 8, 9, 11, 12, 13, 15, 16, 17, 18","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^11)"
23,23,True,"5, 7, 8, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^4,y^7), ideal(x^3,x^2*y^3,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^7,y^10)"
29,29,True,"7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 28","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^11)"
31,31,True,"8, 10, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^9), ideal(x^4,x^3*y^2,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^10)"
37,-33,True,"9, 12, 14, 16, 17, 19, 20, 21, 22, 24, 25, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^6,y^8), ideal(x^3,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^10)"
41,-29,True,"10, 13, 16, 18, 19, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^6,y^8), ideal(x^3*y,x^4,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^9), ideal(x^4,x^3*y^2,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^10)"
43,-27,True,"11, 14, 17, 20, 23, 26, 28, 29, 31, 32, 34, 35, 37, 38, 40, 41, 42","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^11)"
47,-23,True,"12, 15, 19, 21, 22, 24, 25, 28, 29, 31, 32, 34, 35, 38, 39, 40, 41, 42, 43, 44, 45, 46","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^6,y^8), ideal(x^3,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^11)"
53,-17,True,"13, 17, 21, 24, 25, 28, 32, 34, 36, 38, 39, 40, 42, 43, 44, 45, 46, 47, 49, 51, 52","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^6,y^8), ideal(x^3,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^11)"
59,-11,True,"15, 19, 23, 27, 31, 32, 35, 36, 39, 40, 43, 44, 47, 48, 51, 52, 53, 55, 56, 57, 58","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^11)"
61,-9,True,"16, 20, 25, 28, 29, 32, 33, 37, 38, 40, 41, 42, 44, 45, 46, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^6,y^8), ideal(x^3,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^11)"
67,-3,True,"17, 22, 27, 30, 32, 35, 36, 40, 41, 44, 45, 46, 49, 51, 54, 56, 57, 59, 60, 62, 63, 64, 65, 66","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^6,y^8), ideal(x^3,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^11)"
71,1,True,"19, 24, 29, 33, 34, 38, 39, 43, 44, 47, 48, 49, 52, 53, 54, 57, 58, 59, 61, 62, 63, 64, 66, 67, 68, 69, 70","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^6,y^8), ideal(x^3,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^11)"
73,3,True,"19, 24, 29, 34, 39, 40, 44, 45, 48, 49, 50, 53, 55, 58, 60, 63, 65, 66, 68, 69, 70, 71, 72","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^11)"
79,9,True,"20, 26, 31, 36, 37, 42, 43, 47, 48, 52, 53, 54, 58, 59, 60, 63, 64, 65, 68, 69, 70, 71, 74, 75, 76, 77, 78","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^6,y^8), ideal(x^3,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^11)"
83,13,True,"21, 27, 33, 38, 39, 44, 45, 50, 51, 54, 56, 57, 60, 62, 63, 66, 68, 69, 71, 72, 74, 75, 77, 78, 80, 81, 82","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^6,y^8), ideal(x^3,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^11)"
89,19,True,"23, 29, 36, 41, 42, 47, 48, 54, 55, 59, 60, 61, 65, 66, 67, 72, 73, 74, 77, 78, 79, 80, 83, 84, 85, 86, 88","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^6,y^8), ideal(x^3,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^11)"
97,27,True,"25, 32, 39, 44, 46, 51, 53, 58, 60, 64, 65, 67, 71, 72, 74, 78, 79, 81, 83, 85, 86, 88, 90, 92, 93, 95, 96","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^5,y^8), ideal(x^3,x^2*y^3,x*y^6,y^8), ideal(x^3,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^3,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^6,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^9), ideal(x^3*y,x^4,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^4,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^7,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^10), ideal(x^4,x^3*y^2,x^2*y^5,x*y^8,y^11)"
