char,cong,irred,nu-invariants,ideals
2,2,False,1,ideal(y^6+x^2)
3,3,False,"1, 2","ideal(x,y^4), ideal(x^2,x*y^4,y^8)"
5,5,False,"1, 2, 3, 4","ideal 1, ideal(x,y^2), ideal(x^2,x*y^2,y^4), ideal(x^3,x^2*y^2,x*y^4,y^7)"
7,7,False,"1, 2, 3, 4, 5, 6","ideal 1, ideal(y,x), ideal(x,y^3), ideal(x*y,x^2,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^5,y^8)"
11,11,False,"2, 3, 4, 5, 6, 7, 8, 9, 10","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8)"
13,13,False,"4, 5, 6, 7, 8, 9, 10, 11, 12","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8)"
17,17,False,"5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8)"
19,19,False,"5, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^4), ideal(x*y,x^2,y^5), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^2*y,x^3,x*y^5,y^8), ideal(x^3,x^2*y^2,x*y^5,y^8)"
23,23,False,"6, 8, 10, 12, 14, 16, 18, 20, 22","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8)"
29,-19,False,"9, 11, 14, 16, 18, 19, 21, 23, 25, 26, 28","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8)"
31,-17,False,"9, 12, 14, 17, 19, 20, 22, 25, 27, 28, 30","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^4), ideal(x*y,x^2,y^5), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^2*y,x^3,x*y^5,y^8), ideal(x^3,x^2*y^2,x*y^5,y^8)"
37,-11,False,"12, 15, 18, 21, 24, 27, 30, 33, 36","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8)"
41,-7,False,"13, 16, 20, 23, 26, 27, 30, 33, 36, 37, 40","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8)"
43,-5,False,"13, 17, 20, 24, 27, 28, 31, 35, 38, 39, 42","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^4), ideal(x*y,x^2,y^5), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^2*y,x^3,x*y^5,y^8), ideal(x^3,x^2*y^2,x*y^5,y^8)"
47,-1,False,"14, 18, 22, 26, 30, 34, 38, 42, 46","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8)"
53,5,False,"17, 21, 26, 30, 34, 35, 39, 43, 47, 48, 52","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8)"
59,11,False,"18, 23, 28, 33, 38, 43, 48, 53, 58","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^6), ideal(x^2*y,x^3,x*y^4,y^7), ideal(x^3,x^2*y^2,x*y^5,y^8)"
