char,cong,irred,nu-invariants,ideals
2,2,True,1,"ideal(x,y^3)"
3,3,True,"1, 2","ideal 1, ideal(x,y^2)"
5,5,True,"2, 3, 4","ideal 1, ideal(y,x), ideal(x,y^2)"
7,7,True,"3, 4, 5, 6","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3)"
11,-3,True,"6, 8, 9, 10","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3)"
13,-1,True,"7, 9, 11, 12","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3)"
17,3,True,"10, 12, 15, 16","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3)"
19,5,True,"11, 14, 17, 18","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3)"
23,-5,True,"14, 17, 20, 22","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3)"
29,1,True,"18, 22, 26, 28","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3)"
31,3,True,"19, 23, 28, 30","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3)"
37,-5,True,"23, 28, 33, 36","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3)"
41,-1,True,"25, 31, 37, 40","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3)"
43,1,True,"27, 33, 39, 42","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3)"
47,5,True,"29, 36, 43, 46","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3)"
53,-3,True,"33, 41, 48, 52","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3)"
59,3,True,"37, 45, 54, 58","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3)"
61,5,True,"38, 47, 56, 60","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3)"
67,-3,True,"42, 52, 61, 66","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3)"
71,1,True,"45, 55, 65, 70","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3)"
73,3,True,"46, 56, 67, 72","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3)"
79,-5,True,"50, 61, 72, 78","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3)"
83,-1,True,"52, 64, 76, 82","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3)"
89,5,True,"56, 69, 82, 88","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3)"
97,-1,True,"61, 75, 89, 96","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3)"
