char,cong,irred,nu-invariants,ideals
2,2,False,1,"ideal(x^2,y^5)"
3,3,False,"1, 2","ideal(x,y^3), ideal(x^3,x*y^3,y^6)"
5,5,False,"1, 2, 3, 4","ideal(y^2+x), ideal(y^4+2*x*y^2+x^2), ideal(y^6-2*x*y^4-2*x^2*y^2+x^3), ideal(y^8-x*y^6+x^2*y^4-x^3*y^2+x^4)"
7,7,False,"1, 2, 3, 4, 5, 6","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,y^5,x*y^4), ideal(x^2*y^2,x^3*y,x^4,x*y^5,y^7)"
11,11,False,"3, 4, 5, 6, 7, 8, 9, 10","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x*y,x^2,y^3), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^3,x^2*y^2,x*y^4,y^6), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
13,13,False,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^3), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^3,x*y^3,x^2*y^2,y^6), ideal(x^3,x*y^4,x^2*y^3,y^6), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
17,17,False,"4, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^2*y,x^3,y^5,x*y^4), ideal(x^3,x^2*y^2,x*y^4,y^6), ideal(x^2*y^2,x^3*y,x^4,x*y^5,y^7), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
19,19,False,"4, 6, 8, 10, 12, 14, 16, 18","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x*y,x^2,y^3), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^3,x^2*y^2,x*y^4,y^6), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
23,23,False,"6, 8, 10, 11, 13, 15, 17, 18, 19, 20, 22","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^3), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^3,x*y^3,x^2*y^2,y^6), ideal(x^3,x^2*y^2,x*y^4,y^6), ideal(x^3,x*y^4,x^2*y^3,y^6), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
29,-21,False,"7, 10, 13, 16, 19, 22, 25, 28","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x*y,x^2,y^3), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^3,x^2*y^2,x*y^4,y^6), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
31,-19,False,"9, 12, 15, 18, 21, 24, 27, 30","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x*y,x^2,y^3), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^3,x^2*y^2,x*y^4,y^6), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
