char,cong,irred,nu-invariants,ideals
2,2,True,1,"ideal(x,y^2)"
3,3,True,"1, 2","ideal(y,x), ideal(x*y,x^2,y^3)"
5,5,True,"1, 2, 3, 4","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x*y,x^2,y^3)"
7,7,True,"3, 4, 5, 6","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2)"
11,-4,True,"5, 7, 9, 10","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x*y,x^2,y^3)"
13,-2,True,"6, 9, 10, 11, 12","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3)"
17,2,True,"8, 11, 14, 15, 16","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3)"
19,4,True,"9, 13, 15, 17, 18","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3)"
23,-7,True,"11, 16, 19, 20, 22","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3)"
29,-1,True,"14, 20, 24, 26, 28","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3)"
31,1,True,"16, 22, 26, 28, 30","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3)"
37,7,True,"19, 26, 31, 34, 36","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3)"
41,-4,True,"21, 29, 35, 37, 40","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3)"
43,-2,True,"22, 31, 36, 39, 42","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3)"
47,2,True,"24, 33, 40, 43, 46","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3)"
53,-7,True,"27, 38, 45, 48, 52","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3)"
59,-1,True,"30, 42, 50, 54, 58","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3)"
61,1,True,"32, 44, 52, 56, 60","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3)"
67,7,True,"35, 48, 57, 62, 66","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3)"
71,-4,True,"37, 51, 61, 65, 70","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3)"
73,-2,True,"38, 53, 62, 67, 72","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3)"
79,4,True,"41, 57, 67, 73, 78","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3)"
83,-7,True,"43, 60, 71, 76, 82","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3)"
89,-1,True,"46, 64, 76, 82, 88","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3)"
97,7,True,"51, 70, 83, 90, 96","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3)"
