char,cong,irred,nu-invariants,ideals
2,2,True,1,"ideal(x*y,y^4+x)"
3,3,True,"1, 2","ideal(x,y^2), ideal(x^2,x*y^2,y^5)"
5,5,True,"1, 2, 3, 4","ideal 1, ideal(y,x), ideal(x,y^3), ideal(x^2,x*y^2,y^5)"
7,7,True,"2, 3, 4, 5, 6","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^5)"
11,11,True,"4, 5, 6, 7, 8, 9, 10","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x*y,x^2,y^5), ideal(x^2,x*y^2,y^6)"
13,13,True,"5, 6, 7, 9, 10, 11, 12","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^2,y^6)"
17,-13,True,"6, 8, 10, 11, 12, 13, 14, 15, 16","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x*y,x^2,y^4), ideal(x*y,x^2,y^5), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^2,y^6)"
19,-11,True,"7, 9, 11, 13, 14, 15, 17, 18","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x*y,x^2,y^4), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^3,y^6)"
23,-7,True,"9, 11, 14, 16, 17, 18, 19, 20, 21, 22","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x*y,x^2,y^4), ideal(x*y,x^2,y^5), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^2,y^6), ideal(x^2,x*y^3,y^6)"
29,-1,True,"12, 14, 17, 20, 21, 23, 24, 26, 27, 28","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x*y,x^2,y^4), ideal(x*y,x^2,y^5), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^2,y^6), ideal(x^2,x*y^3,y^6)"
31,1,True,"13, 16, 19, 22, 23, 25, 26, 28, 29, 30","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x*y,x^2,y^4), ideal(x*y,x^2,y^5), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^2,y^6), ideal(x^2,x*y^3,y^6)"
37,7,True,"15, 19, 23, 26, 27, 30, 31, 34, 35, 36","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x*y,x^2,y^4), ideal(x*y,x^2,y^5), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^2,y^6), ideal(x^2,x*y^3,y^6)"
41,11,True,"17, 21, 25, 29, 31, 33, 35, 37, 39, 40","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x*y,x^2,y^4), ideal(x*y,x^2,y^5), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^2,y^6), ideal(x^2,x*y^3,y^6)"
43,13,True,"18, 22, 26, 31, 32, 35, 36, 39, 41, 42","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x,y^4), ideal(x*y,x^2,y^4), ideal(x*y,x^2,y^5), ideal(x^2,x*y^2,y^5), ideal(x^2,x*y^2,y^6), ideal(x^2,x*y^3,y^6)"
