char,cong,irred,nu-invariants,ideals
2,2,True,1,"ideal(x^2*y,x^3+y^3)"
3,3,True,"1, 2","ideal(x*y,x^2+y^2), ideal(x^2*y^2,x^3*y+x*y^3,x^4+y^4)"
5,5,True,"1, 2, 3, 4","ideal 1, ideal(y,x^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4)"
7,7,True,"2, 3, 4, 5, 6","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4)"
11,11,True,"3, 4, 5, 6, 8, 10","ideal 1, ideal(y,x), ideal(y,x^2), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4)"
13,13,True,"4, 6, 8, 10, 12","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4)"
17,17,True,"5, 7, 8, 10, 13, 16","ideal 1, ideal(y,x), ideal(y,x^2), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4)"
19,-17,True,"6, 9, 12, 15, 18","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4)"
23,-13,True,"7, 10, 11, 14, 18, 22","ideal 1, ideal(y,x), ideal(y,x^2), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4)"
29,-7,True,"9, 13, 14, 18, 23, 28","ideal 1, ideal(y,x), ideal(y,x^2), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4)"
31,-5,True,"10, 15, 20, 25, 30","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4)"
37,1,True,"12, 18, 24, 30, 36","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4)"
41,5,True,"13, 19, 20, 26, 33, 40","ideal 1, ideal(y,x), ideal(y,x^2), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4)"
43,7,True,"14, 21, 28, 35, 42","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4)"
47,11,True,"15, 22, 23, 30, 38, 46","ideal 1, ideal(y,x), ideal(y,x^2), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4)"
53,17,True,"17, 25, 26, 34, 43, 52","ideal 1, ideal(y,x), ideal(y,x^2), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4)"
59,-13,True,"19, 28, 29, 38, 48, 58","ideal 1, ideal(y,x), ideal(y,x^2), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4)"
61,-11,True,"20, 30, 40, 50, 60","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4)"
67,-5,True,"22, 33, 44, 55, 66","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4)"
71,-1,True,"23, 34, 35, 46, 58, 70","ideal 1, ideal(y,x), ideal(y,x^2), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4)"
73,1,True,"24, 36, 48, 60, 72","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4)"
79,7,True,"26, 39, 52, 65, 78","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4)"
83,11,True,"27, 40, 41, 54, 68, 82","ideal 1, ideal(y,x), ideal(y,x^2), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4)"
89,17,True,"29, 43, 44, 58, 73, 88","ideal 1, ideal(y,x), ideal(y,x^2), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4)"
97,-11,True,"32, 48, 64, 80, 96","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4)"
