char,cong,irred,nu-invariants,ideals
2,2,True,1,"ideal(y^2,x*y,x^2)"
3,3,True,"1, 2","ideal(y,x), ideal(x*y,y^3,x^3)"
5,5,True,"1, 2, 3, 4","ideal 1, ideal(x+y,y^2), ideal(x*y,x^2+y^2), ideal(x^2*y+x*y^2,x^3+y^3,y^4)"
7,7,True,"2, 3, 5, 6","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3)"
11,11,True,"4, 6, 8, 10","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3)"
13,-12,True,"4, 7, 9, 10, 12","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(x*y,y^3,x^3), ideal(y^3,x*y^2,x^2*y,x^3)"
17,-8,True,"6, 9, 13, 16","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3)"
19,-6,True,"7, 10, 14, 18","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3)"
23,-2,True,"8, 13, 17, 18, 22","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(x*y,y^3,x^3), ideal(y^3,x*y^2,x^2*y,x^3)"
29,4,True,"11, 16, 22, 28","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3)"
31,6,True,"12, 18, 24, 30","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3)"
37,12,True,"14, 21, 29, 36","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3)"
41,-9,True,"16, 24, 32, 40","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3)"
43,-7,True,"16, 25, 33, 34, 42","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(x*y,y^3,x^3), ideal(y^3,x*y^2,x^2*y,x^3)"
47,-3,True,"18, 27, 37, 46","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3)"
53,3,True,"20, 31, 41, 42, 52","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(x*y,y^3,x^3), ideal(y^3,x*y^2,x^2*y,x^3)"
59,9,True,"23, 34, 46, 58","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3)"
61,11,True,"24, 36, 48, 60","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3)"
67,-8,True,"26, 39, 53, 66","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3)"
71,-4,True,"28, 42, 56, 70","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3)"
73,-2,True,"28, 43, 57, 58, 72","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(x*y,y^3,x^3), ideal(y^3,x*y^2,x^2*y,x^3)"
79,4,True,"31, 46, 62, 78","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3)"
83,8,True,"32, 49, 65, 66, 82","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(x*y,y^3,x^3), ideal(y^3,x*y^2,x^2*y,x^3)"
89,-11,True,"35, 52, 70, 88","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3)"
97,-3,True,"38, 57, 77, 96","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3)"
